SRA843432,SRS4322339,Kaposi's sarcoma,10x chromium,Homo sapiens,2914,view
SRA843432,SRS4322341,Kaposi's sarcoma,10x chromium,Homo sapiens,3493,view
SRA843432,SRS4322342,Kaposi's sarcoma,10x chromium,Homo sapiens,3372,view
SRA843432,SRS4322343,Kaposi's sarcoma,10x chromium,Homo sapiens,3940,view
SRA843432,SRS4322345,Kaposi's sarcoma,10x chromium,Homo sapiens,3718,view
SRA843432,SRS4322346,Kaposi's sarcoma,10x chromium,Homo sapiens,4479,view
SRA832580,SRS4238857,Lymphoblastoid cell line,10x chromium,Homo sapiens,8274,view
SRA823777,SRS4151080,Mammary gland,10x chromium,Homo sapiens,"10,291",view
SRA823777,SRS4151081,Mammary gland,10x chromium,Homo sapiens,"18,490",view
SRA728025,SRS3454421,Inflamed area of colon,10x chromium,Homo sapiens,1883,view
SRA728025,SRS3454422,Colon,10x chromium,Homo sapiens,2322,view
SRA728025,SRS3454423,Colon,10x chromium,Homo sapiens,2283,view
SRA728025,SRS3454424,Colon,10x chromium,Homo sapiens,1898,view
SRA728025,SRS3454425,Colon,10x chromium,Homo sapiens,3429,view
SRA728025,SRS3454426,Colon,10x chromium,Homo sapiens,3423,view
SRA728025,SRS3454427,Colon,10x chromium,Homo sapiens,3840,view
SRA728025,SRS3454428,Colon,10x chromium,Homo sapiens,5459,view
SRA728025,SRS3454430,Colon,10x chromium,Homo sapiens,4910,view
SRA705190,SRS3306242,Embryonic kidney,10x chromium,Homo sapiens,"10,194",view
SRA705190,SRS4139632,Embryonic kidney,10x chromium,Homo sapiens,117,view
SRA705190,SRS4139633,Embryonic kidney,10x chromium,Homo sapiens,2938,view
SRA705190,SRS4139634,Embryonic kidney,10x chromium,Homo sapiens,3819,view
SRA705190,SRS4139635,Embryonic kidney,10x chromium,Homo sapiens,2580,view
SRA856537,SRS4458841,Unknown,10x chromium,Homo sapiens,927,view
SRA856537,SRS4458842,Unknown,10x chromium,Homo sapiens,690,view
SRA856537,SRS4458843,Unknown,10x chromium,Homo sapiens,813,view
SRA856537,SRS4458844,Unknown,10x chromium,Homo sapiens,695,view
SRA850958,SRS4386091,Substantia nigra,10x chromium,Homo sapiens,579,view
SRA850958,SRS4386092,Substantia nigra,10x chromium,Homo sapiens,430,view
SRA850958,SRS4386101,Substantia nigra,10x chromium,Homo sapiens,906,view
SRA850958,SRS4386107,Substantia nigra,10x chromium,Homo sapiens,685,view
SRA850958,SRS4386109,Substantia nigra,10x chromium,Homo sapiens,1387,view
SRA850958,SRS4386110,Substantia nigra,10x chromium,Homo sapiens,1065,view
SRA850958,SRS4386111,Substantia nigra,10x chromium,Homo sapiens,2590,view
SRA850958,SRS4386112,Substantia nigra,10x chromium,Homo sapiens,2432,view
SRA850958,SRS4386113,Substantia nigra,10x chromium,Homo sapiens,1973,view
SRA769148,SRS3747193,Cord blood,10x chromium,Homo sapiens,2674,view
SRA769148,SRS3747194,Cord blood,10x chromium,Homo sapiens,2581,view
SRA769148,SRS3747195,Cord blood,10x chromium,Homo sapiens,2160,view
SRA769148,SRS3747196,Cord blood,10x chromium,Homo sapiens,2292,view
SRA769148,SRS3747197,Cord blood,10x chromium,Homo sapiens,2500,view
SRA769148,SRS3747198,Cord blood,10x chromium,Homo sapiens,3906,view
SRA767234,SRS3741870,Tonsil CD14+ cells,10x chromium,Homo sapiens,2213,view
SRA767245,SRS3741878,Tonsil CD4 T cells,10x chromium,Homo sapiens,1281,view
SRA767245,SRS3741879,Tonsil CD4 T cells,10x chromium,Homo sapiens,916,view
SRA767245,SRS3741880,Tonsil CD4 T cells,10x chromium,Homo sapiens,2299,view
